Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
processos de saude,123,616,306,public.rl_antecedente_ciap; public.rl_arquivo_atendprof; public.rl_atend_proced; public.rl_ativ_col_pratica_saude; public.rl_ativ_col_tema_saude; public.rl_cds_atend_dom_proced; public.rl_cds_atend_dom_situacao_pres; public.rl_cds_atend_individual_ciap; public.rl_cds_atend_odont_tip_vig_buc; public.rl_cds_ficha_atend_indivdl_prf; public.rl_cds_ficha_atend_odonto_prof; public.rl_cds_ficha_ativ_col_pratica; public.rl_cds_ficha_ativ_col_pub_alvo; public.rl_cds_ficha_ativ_col_tema; public.rl_cds_visita_dom_motivo; public.rl_ciap_cid10; public.rl_evolucao_avaliacao_ciap_cid; public.rl_evolucao_subjetivo_ciap; public.rl_grupo_condicao_ciap_cid; public.rl_manifest_alergiaevolucao; public.rl_perfil_cbo_padrao; public.rl_proced_atributo_complem; public.rl_proced_cbo; public.rl_proced_cds_proced; public.rl_proced_cid10; public.rl_unidade_saude_complexidade; public.ta_ad_cidadao; public.ta_antecedente_ciap; public.ta_atestado_modelo; public.ta_ativ_col_pratica_saude; public.ta_ativ_col_registro_particip; public.ta_ativ_col_tema_saude; public.ta_atividade_coletiva; public.ta_cfg_certificado; public.ta_cidadao; public.ta_cidadao_grupo; public.ta_cidadao_vinculacao_equipe; public.ta_equipe; public.ta_exame_triglicerideos; public.ta_ivcf; public.ta_lembrete; public.ta_lotacao; public.ta_medicao; public.ta_perfil; public.ta_problema_evolucao; public.ta_prof; public.ta_prof_historico_cns; public.ta_sinan_notificacao_evolucao; public.ta_unidade_saude; public.ta_unidade_saude_complexidade; public.tb_acomp_cidadaos_vinculados; public.tb_ad_cidadao; public.tb_ad_destino; public.tb_ad_origem; public.tb_ad_tipo_inelegivel; public.tb_alim_bebida; public.tb_antecedente_historico; public.tb_antecedente_item; public.tb_arquivo; public.tb_atend_obs; public.tb_atend_prof_obs; public.tb_atestado_modelo; public.tb_ativ_col_registro_particip; public.tb_atividade_coletiva; public.tb_atributo_complem; public.tb_cds_atend_domiciliar; public.tb_cds_atend_odonto; public.tb_cds_ativ_col_participante; public.tb_cds_ativ_col_pratica; public.tb_cds_ativ_col_publico_alvo; public.tb_cds_ativ_col_tema; public.tb_cds_aval_elegibilidade; public.tb_cds_cad_domiciliar; public.tb_cds_cad_individual; public.tb_cds_cidadao_resposta; public.tb_cds_ficha_atend_domiciliar; public.tb_cds_ficha_atend_individual; public.tb_cds_ficha_atend_odonto; public.tb_cds_ficha_ativ_col; public.tb_cds_ficha_consumo_alimentar; public.tb_cds_ficha_proced; public.tb_cds_ficha_vacinacao; public.tb_cds_ficha_visita_domiciliar; public.tb_cds_pic; public.tb_cds_proced; public.tb_cds_prof; public.tb_cds_tipo_atend_nasf; public.tb_cds_tipo_ativ_col; public.tb_cds_tipo_origem; public.tb_cds_tipo_situacao_presente; public.tb_cds_tipo_vig_saude_bucal; public.tb_cds_vacinacao; public.tb_cds_visita_dom_motivo; public.tb_cds_visita_domiciliar; public.tb_cfg_certificado; public.tb_ciap; public.tb_ciap_capitulo; public.tb_ciap_componente; public.tb_ciap_dab; public.tb_ciap_ms; public.tb_cid10; public.tb_cidadao; public.tb_cidadao_grupo; public.tb_cidadao_vinculacao_equipe; public.tb_cnes; public.tb_conduta_cuidado_compartilhd; public.tb_config_sistema; public.tb_conselho_classe; public.tb_contexto_pergunta; public.tb_criticidade_alergia; public.tb_cronicidade; public.tb_cuidado_compartilhado; public.tb_dado_transp; public.tb_dim_agrupador_filtro; public.tb_dim_cbo; public.tb_dim_ciap; public.tb_dim_cid; public.tb_dim_conduta_ad; public.tb_dim_conduta_cuidado; public.tb_dim_dsei; public.tb_dim_equipe; public.tb_dim_especialidade; public.tb_dim_estrategia_vacinacao; public.tb_dim_grau_vulnerabilidade; public.tb_dim_grupo_atendimento; public.tb_dim_grupo_cbo; public.tb_dim_imunobiologico; public.tb_dim_pic; public.tb_dim_polo_base; public.tb_dim_procedencia_origem; public.tb_dim_procedimento; public.tb_dim_profissional; public.tb_dim_racionalidade_saude; public.tb_dim_tipo_atividade; public.tb_dim_tipo_condicao_peso; public.tb_dim_tipo_ficha; public.tb_dim_tipo_glicemia; public.tb_dim_tipo_tratamento_agua; public.tb_dim_unidade_saude; public.tb_dsei; public.tb_equipe; public.tb_estrategia_vacinacao; public.tb_evolucao_avaliacao; public.tb_evolucao_objetivo; public.tb_evolucao_subjetivo; public.tb_exame_puericultura; public.tb_familia; public.tb_fat_atd_ind_encaminhamentos; public.tb_fat_atd_ind_exames; public.tb_fat_atd_ind_medicamentos; public.tb_fat_atd_ind_problemas; public.tb_fat_atd_ind_procedimentos; public.tb_fat_atend_dom_prob_cond; public.tb_fat_atend_dom_proced; public.tb_fat_atend_odonto_encaminham; public.tb_fat_atend_odonto_exames; public.tb_fat_atend_odonto_problemas; public.tb_fat_atend_odonto_proced; public.tb_fat_atendimento_domiciliar; public.tb_fat_atendimento_individual; public.tb_fat_atendimento_odonto; public.tb_fat_atividade_coletiva; public.tb_fat_atvdd_coletiva_ext; public.tb_fat_atvdd_coletiva_int; public.tb_fat_atvdd_coletiva_part; public.tb_fat_atvdd_coletiva_propart; public.tb_fat_avaliacao_elegibilidade; public.tb_fat_cad_dom_familia; public.tb_fat_cad_individual; public.tb_fat_cidadao; public.tb_fat_cidadao_pec; public.tb_fat_cidadao_territorio; public.tb_fat_cnslddo_ciddo_fai_cid; public.tb_fat_consolidado_cidadao_fai; public.tb_fat_consolidado_cidadao_fao; public.tb_fat_consolidado_cidadao_fci; public.tb_fat_consolidado_cidadao_fp; public.tb_fat_consolidado_cidadao_fvd; public.tb_fat_cuidado_compartilhado; public.tb_fat_familia; public.tb_fat_familia_territorio; public.tb_fat_fichas; public.tb_fat_ivcf; public.tb_fat_marca_consumo_alimnt; public.tb_fat_op_acompanhamento_idosa; public.tb_fat_proced_atend; public.tb_fat_proced_atend_proced; public.tb_fat_procedimento; public.tb_fat_rel_op_risco_cardio; public.tb_fat_vacinacao; public.tb_fat_vacinacao_vacina; public.tb_fat_visita_domiciliar; public.tb_forma_farmaceutica; public.tb_grau_certeza_alergia; public.tb_grupo_alvo_vacinacao; public.tb_grupo_atendimento; public.tb_grupo_condicao_saude; public.tb_grupo_especialidade; public.tb_historico_cabecalho; public.tb_historico_dados_fad; public.tb_historico_dados_fai; public.tb_historico_dados_fcc; public.tb_historico_dados_proced; public.tb_historico_dados_vacina; public.tb_imunobiologico; public.tb_ivcf; public.tb_ivcf_perguntas; public.tb_justificativa_prontuario; public.tb_local_apl_vacina; public.tb_local_atend; public.tb_lotacao; public.tb_medicao; public.tb_nodo; public.tb_origem; public.tb_pergunta; public.tb_pergunta_detalhe; public.tb_polo_base; public.tb_pratica_saude; public.tb_problema; public.tb_problema_evolucao; public.tb_proced_automatico; public.tb_proced_exame_especifico; public.tb_proced_filtro; public.tb_proced_grupo; public.tb_proced_subgrupo; public.tb_prof; public.tb_prof_historico_cns; public.tb_prontuario; public.tb_publico_alvo; public.tb_qst_questionario; public.tb_raca_cor; public.tb_racionalidade_saude; public.tb_recebimento_validacao_erros; public.tb_recurso; public.tb_regra_vacinal_dose; public.tb_report_etl_configs; public.tb_revisao; public.tb_sinan_notificacao; public.tb_sinan_notificacao_evolucao; public.tb_subtipo_unidade_saude; public.tb_tema_reuniao; public.tb_tema_saude; public.tb_tipo_atend_prof; public.tb_tipo_atividade; public.tb_tipo_cfg_agenda; public.tb_tipo_dado_transp; public.tb_tipo_equipe; public.tb_tipo_glicemia; public.tb_tipo_origem_dado_transp; public.tb_tipo_registro; public.tb_tipo_tratamento_agua; public.tb_tipo_unidade_saude; public.tb_unidade_saude; public.tb_vacinacao; public.tb_visita_domiciliar_acs; public.tl_ad_cidadao; public.tl_agendado; public.tl_antecedente_ciap; public.tl_atend_proced; public.tl_cds_atend_dom_situacao_pres; public.tl_cds_atend_domiciliar; public.tl_cds_atend_odont_tip_vig_buc; public.tl_cds_atend_odonto; public.tl_cds_ativ_col_participante; public.tl_cds_aval_elegibilidade; public.tl_cds_cad_domiciliar; public.tl_cds_cad_individual; public.tl_cds_cidadao_resposta; public.tl_cds_domicilio; public.tl_cds_ficha_atend_domiciliar; public.tl_cds_ficha_atend_indivdl_prf; public.tl_cds_ficha_atend_individual; public.tl_cds_ficha_atend_odonto; public.tl_cds_ficha_atend_odonto_prof; public.tl_cds_ficha_ativ_col; public.tl_cds_ficha_ativ_col_pratica; public.tl_cds_ficha_consumo_alimentar; public.tl_cds_ficha_proced; public.tl_cds_ficha_vacinacao; public.tl_cds_ficha_visita_domiciliar; public.tl_cds_proced; public.tl_cds_prof; public.tl_cds_vacinacao; public.tl_cds_visita_domiciliar; public.tl_cidadao; public.tl_cidadao_vinculacao_equipe; public.tl_equipe; public.tl_evolucao_avaliacao; public.tl_evolucao_avaliacao_ciap_cid; public.tl_evolucao_objetivo; public.tl_evolucao_subjetivo; public.tl_evolucao_subjetivo_ciap; public.tl_exame_hemoglobina_glicada; public.tl_exame_requisitado; public.tl_familia; public.tl_justificativa_prontuario; public.tl_lotacao; public.tl_medicao; public.tl_papel; public.tl_perfil; public.tl_problema; public.tl_prof; public.tl_recurso; public.tl_sinan_notificacao_evolucao; public.tl_unidade_saude_complexidade; public.tl_vacinacao
atendimento,61,237,134,public.rl_arquivo_atendprof; public.rl_atend_obs_responsavel; public.rl_atend_proced; public.rl_atend_prof_conduta; public.rl_atend_prof_odonto_tipo_frnc; public.rl_atend_tipo_servico; public.rl_cds_atend_individual_condut; public.rl_cds_atend_individual_nasf; public.rl_cds_atend_odonto_proced; public.rl_cds_atend_odonto_tipo_cnslt; public.rl_cds_atend_odonto_tipo_encam; public.rl_cds_ficha_atend_indivdl_prf; public.rl_cds_ficha_atend_odonto_prof; public.rl_cds_ficha_ativ_col_pratica; public.rl_evolucao_avaliacao_ciap_cid; public.rl_evolucao_plano_ciap; public.rl_evolucao_subjetivo_ciap; public.rl_tipo_atend_proced_automatic; public.rl_tipo_servico_padrao; public.rl_unidade_saude_tipo_servico; public.ta_agendado; public.ta_antecedente_historico; public.ta_arquivo_atendprof; public.ta_atend; public.ta_atend_obs; public.ta_atend_obs_responsavel; public.ta_atend_proced; public.ta_atend_prof; public.ta_atend_prof_conduta; public.ta_atend_prof_obs; public.ta_atend_prof_odonto; public.ta_atend_prof_puericultura; public.ta_atend_tipo_servico; public.ta_cfg_agenda_municipal; public.ta_evolucao_objetivo; public.ta_evolucao_plano; public.ta_evolucao_plano_ciap; public.ta_evolucao_subjetivo; public.ta_evolucao_subjetivo_ciap; public.ta_lembrete; public.ta_neuro_alter_fenot_evolucao; public.ta_retificacao_atend; public.ta_sinan_notificacao_evolucao; public.ta_vacinacao; public.tb_ad_origem; public.tb_antecedente_historico; public.tb_atend; public.tb_atend_obs; public.tb_atend_prof; public.tb_atend_prof_obs; public.tb_atend_prof_odonto; public.tb_atestado; public.tb_atributo_complem; public.tb_categoria_arquivo_atendprof; public.tb_cds_proced; public.tb_cds_tipo_atend_nasf; public.tb_cds_tipo_ativ_col; public.tb_cfg_agenda_municipal; public.tb_ciap_componente; public.tb_cirurgias_internacoes; public.tb_classificacao_prioridade_cc; public.tb_classificacao_risco; public.tb_classificacao_risco_encam; public.tb_complexidade; public.tb_cuidado_compartilhado; public.tb_cuidado_compartilhado_evol; public.tb_cuidado_finalizacao_auto; public.tb_dim_classificacao_risc_enc; public.tb_dim_desfecho_visita; public.tb_dim_grupo_atendimento; public.tb_dim_local_atendimento; public.tb_dim_procedencia_origem; public.tb_dim_tipo_atendimento; public.tb_dim_tipo_consulta_odonto; public.tb_dim_tipo_ficha; public.tb_dim_tipo_participacao_atend; public.tb_fat_atd_ind_exames; public.tb_fat_atvdd_coletiva_part; public.tb_fat_consolidado_cidadao_fad; public.tb_fat_consolidado_cidadao_fao; public.tb_fat_cuidado_compartilhado; public.tb_grupo_atendimento; public.tb_historico_cabecalho; public.tb_historico_dados_tags; public.tb_justificativa_prontuario; public.tb_lembrete; public.tb_lista_espera_tipo_atend; public.tb_mchat; public.tb_neuro_alter_fenot_evolucao; public.tb_neuro_fator_risco_evolucao; public.tb_neuro_marco_evolucao; public.tb_problema_evolucao; public.tb_proced_grupo; public.tb_proced_subgrupo; public.tb_retificacao_atend; public.tb_sinan_notificacao_evolucao; public.tb_situacao_agendado; public.tb_status_atend; public.tb_status_atend_prof; public.tb_status_cuidado_compartilhad; public.tb_status_revisao_atend; public.tb_subtipo_unidade_saude; public.tb_tipo_atend; public.tb_tipo_atend_prof; public.tb_tipo_config_atend_domicilir; public.tb_tipo_dado_transp; public.tb_tipo_encam_interno; public.tl_ad_cidadao; public.tl_antecedente_historico; public.tl_atend; public.tl_atend_proced; public.tl_atend_prof; public.tl_atend_prof_conduta; public.tl_atend_prof_odonto; public.tl_atend_prof_odonto_tipo_encm; public.tl_atend_prof_odonto_tipo_frnc; public.tl_atend_prof_puericultura; public.tl_atend_prof_tipo_encam_intrn; public.tl_atend_tipo_servico; public.tl_cds_atend_dom_proced; public.tl_cds_atend_individual_ciap; public.tl_cds_atend_individual_nasf; public.tl_cds_atend_odonto_tipo_encam; public.tl_cds_ficha_atend_indivdl_prf; public.tl_cds_ficha_atend_odonto_prof; public.tl_config_atencao_domiciliar; public.tl_evolucao_objetivo; public.tl_evolucao_plano; public.tl_evolucao_plano_ciap; public.tl_evolucao_subjetivo_ciap; public.tl_lembrete; public.tl_neuro_alter_fenot_evolucao; public.tl_problema_evolucao; public.tl_receita
aplicacao de vacinas,61,213,43,public.rl_calendario_vacnl_grupo_alvo; public.rl_evolucao_plano_ciap; public.rl_via_adm_local_apl_vacina; public.ta_imunobiologico_lote; public.ta_registro_vacinacao; public.ta_vacinacao; public.tb_calendario_vacinal; public.tb_cds_ficha_vacinacao; public.tb_cds_vacina; public.tb_cds_vacinacao; public.tb_classe_imunobiologico; public.tb_dim_dose_imunobiologico; public.tb_dim_estrategia_vacinacao; public.tb_dim_grupo_atendimento; public.tb_dim_imunobiologico; public.tb_dose_imunobiologico; public.tb_estrategia_vacinacao; public.tb_faixa_etaria_vacinacao; public.tb_fat_vacinacao; public.tb_fat_vacinacao_vacina; public.tb_grupo_alvo_vacinacao; public.tb_grupo_ativ_col; public.tb_historico_dados_vacina; public.tb_imunobiologico; public.tb_imunobiologico_fabricante; public.tb_imunobiologico_lote; public.tb_local_apl_vacina; public.tb_medicao; public.tb_processamento_historico; public.tb_registro_vacinacao; public.tb_regra_vacinal_dose; public.tb_regra_vacinal_estrategia; public.tb_tipo_registro_vacinacao; public.tb_vacinacao; public.tb_via_adm_vacina; public.tl_cds_ficha_vacinacao; public.tl_cds_vacina; public.tl_cds_vacinacao; public.tl_grupo_ativ_col; public.tl_imunobiologico_lote; public.tl_medicao; public.tl_registro_vacinacao; public.tl_vacinacao
tratamentos odontologicos,38,206,73,public.rl_atend_prof_odonto_tipo_encm; public.rl_atend_prof_odonto_tipo_frnc; public.rl_cds_atend_odont_tip_vig_buc; public.rl_cds_atend_odonto_proced; public.rl_cds_atend_odonto_tipo_cnslt; public.rl_cds_atend_odonto_tipo_encam; public.rl_cds_atend_odonto_tipo_fornc; public.rl_cds_ficha_atend_odonto_prof; public.rl_evolucao_odonto_parte_bucal; public.rl_evolucao_odonto_proced; public.rl_tipo_consulta_odnt_prc_auto; public.rl_tipo_encam_odonto_procd_aut; public.ta_atend_prof_odonto; public.ta_atend_prof_odonto_tipo_encm; public.ta_atend_prof_odonto_tipo_frnc; public.ta_evolucao_dente; public.ta_evolucao_odonto; public.ta_evolucao_odonto_parte_bucal; public.ta_evolucao_odonto_proced; public.ta_odontograma; public.ta_periograma_simplificado; public.ta_situacaoraiz_evolucaodente; public.ta_tipo_servico; public.tb_arcada; public.tb_atend_prof_odonto; public.tb_cds_atend_odonto; public.tb_cds_ficha_atend_odonto; public.tb_cds_tipo_vig_saude_bucal; public.tb_dente; public.tb_dim_especialidade; public.tb_dim_tipo_consulta_odonto; public.tb_especialidade_sisreg; public.tb_evolucao_dente; public.tb_evolucao_odonto; public.tb_fat_atend_odonto_encaminham; public.tb_fat_atend_odonto_exames; public.tb_fat_atend_odonto_medicament; public.tb_fat_atend_odonto_problemas; public.tb_fat_atend_odonto_proced; public.tb_fat_atendimento_odonto; public.tb_grupo_especialidade; public.tb_historico_dados_fao; public.tb_odontograma; public.tb_parte_bucal; public.tb_parte_bucal_cid10; public.tb_parte_bucal_proced; public.tb_periograma_simplificado; public.tb_proced_automatico; public.tb_sextante; public.tb_situacao_coroa; public.tb_situacao_face; public.tb_situacao_raiz; public.tb_tecido_mole; public.tb_tipo_consulta_odonto; public.tb_tipo_encam_odonto; public.tb_tipo_fornec_odonto; public.tb_tipo_parte_bucal; public.tb_tipo_servico; public.tl_atend_prof_odonto; public.tl_atend_prof_odonto_tipo_encm; public.tl_atend_prof_odonto_tipo_frnc; public.tl_cds_atend_odont_tip_vig_buc; public.tl_cds_atend_odonto; public.tl_cds_atend_odonto_tipo_cnslt; public.tl_cds_atend_odonto_tipo_encam; public.tl_cds_atend_odonto_tipo_fornc; public.tl_cds_ficha_atend_odonto; public.tl_cds_ficha_atend_odonto_prof; public.tl_evolucao_dente; public.tl_evolucao_odonto; public.tl_evolucao_odonto_parte_bucal; public.tl_evolucao_odonto_proced; public.tl_odontograma
tratamento dentario,34,185,61,public.rl_cds_atend_odont_tip_vig_buc; public.rl_evol_aval_tp_vig_saude_bucl; public.rl_evolucao_odonto_parte_bucal; public.rl_evolucao_odonto_proced; public.rl_situacaoface_evolucaodente; public.rl_situacaoraiz_evolucaodente; public.ta_evol_aval_tp_vig_saude_bucl; public.ta_evolucao_avaliacao; public.ta_evolucao_dente; public.ta_evolucao_odonto; public.ta_evolucao_odonto_parte_bucal; public.ta_evolucao_odonto_proced; public.ta_lembrete_evolucao; public.ta_odontograma; public.ta_perfil; public.ta_periograma_simplificado; public.ta_situacaoface_evolucaodente; public.ta_situacaoraiz_evolucaodente; public.ta_tecido_mole; public.tb_arcada; public.tb_cds_atend_odonto; public.tb_cds_ativ_col_pratica; public.tb_cds_tipo_vig_saude_bucal; public.tb_dente; public.tb_dim_equipe; public.tb_dim_especialidade; public.tb_dim_tipo_consulta_odonto; public.tb_evolucao_avaliacao; public.tb_evolucao_dente; public.tb_evolucao_odonto; public.tb_fat_atend_odonto_exames; public.tb_fat_atend_odonto_medicament; public.tb_fat_atend_odonto_problemas; public.tb_fat_atendimento_odonto; public.tb_historico_dados_fao; public.tb_lembrete_evolucao; public.tb_odontograma; public.tb_parte_bucal; public.tb_parte_bucal_cid10; public.tb_parte_bucal_proced; public.tb_periograma_simplificado; public.tb_pratica_saude; public.tb_proced_filtro; public.tb_proced_grupo; public.tb_sextante; public.tb_situacao_coroa; public.tb_situacao_face; public.tb_situacao_raiz; public.tb_tecido_mole; public.tb_tipo_consulta_odonto; public.tb_tipo_parte_bucal; public.tl_cds_atend_odont_tip_vig_buc; public.tl_cds_atend_odonto; public.tl_cds_atend_odonto_tipo_cnslt; public.tl_evol_aval_tp_vig_saude_bucl; public.tl_evolucao_avaliacao; public.tl_evolucao_dente; public.tl_evolucao_odonto; public.tl_evolucao_odonto_parte_bucal; public.tl_evolucao_odonto_proced; public.tl_odontograma
saude gestacional,53,181,55,public.ta_antecedente; public.ta_atend_prof_pre_natal; public.ta_cuidado_compartilhado; public.ta_cuidado_compartilhado_evol; public.ta_exame_prenatal; public.ta_medicao; public.ta_neuro_marco_evolucao; public.ta_pre_natal; public.ta_vacinacao; public.tb_antecedente; public.tb_antecedente_tipo_item; public.tb_atend_prof_pre_natal; public.tb_cds_atend_individual; public.tb_cuidado_compartilhado; public.tb_cuidado_compartilhado_evol; public.tb_dim_condicao_maternal; public.tb_dim_zika_tipo_exame; public.tb_exame_prenatal; public.tb_exame_puericultura; public.tb_fat_consolidado_cidadao_fai; public.tb_fat_consolidado_cidadao_fp; public.tb_fat_cuidado_compartilhado; public.tb_fat_rel_op_crianca; public.tb_fat_rel_op_gestante; public.tb_ficha_zika_tipo_exame; public.tb_grupo_exame; public.tb_historico_dados_fao; public.tb_mchat; public.tb_mchat_aplicacao; public.tb_mchat_pergunta; public.tb_medicao; public.tb_neuro_faixa_etaria; public.tb_neuro_fator_risco_detalhe; public.tb_neuro_marco_detalhe; public.tb_neuro_marco_evolucao; public.tb_pre_natal; public.tb_proced_exame_especifico; public.tb_tipo_gravidez; public.tb_tipo_parto; public.tb_tipo_topico_notificacao; public.tb_vacinacao; public.tl_antecedente; public.tl_antecedente_item; public.tl_atend_prof_pre_natal; public.tl_cds_atend_individual; public.tl_cds_atend_odonto; public.tl_cds_vacinacao; public.tl_evolucao_avaliacao; public.tl_exame_prenatal; public.tl_lembrete_evolucao; public.tl_medicao; public.tl_neuro_marco_evolucao; public.tl_pre_natal; public.tl_requisicao_exame; public.tl_vacinacao
exames,44,167,52,public.rl_arquivo_atendprof; public.rl_cds_atend_individual_exame; public.rl_proced_exame_detalhe; public.rl_proced_grupo_exame; public.ta_arquivo_atendprof; public.ta_exame_clearance_creatina; public.ta_exame_colesterol_hdl; public.ta_exame_colesterol_total; public.ta_exame_creatina_serica; public.ta_exame_hemoglobina_glicada; public.ta_exame_prenatal; public.ta_exame_puericultura; public.ta_exame_requisitado; public.ta_exame_triglicerideos; public.ta_requisicao_exame; public.tb_antecedente_item; public.tb_categoria_arquivo_atendprof; public.tb_dim_zika_tipo_exame; public.tb_exame_clearance_creatina; public.tb_exame_colesterol_hdl; public.tb_exame_colesterol_ldl; public.tb_exame_colesterol_total; public.tb_exame_creatina_serica; public.tb_exame_detalhe; public.tb_exame_prenatal; public.tb_exame_puericultura; public.tb_exame_requisitado; public.tb_exame_triglicerideos; public.tb_fat_atd_ind_exames; public.tb_fat_atend_odonto_exames; public.tb_fat_consolidado_cidadao_fp; public.tb_ficha_zika_tipo_exame; public.tb_grupo_exame; public.tb_historico_dados_exames; public.tb_opcoes_result_exm_qlitativo; public.tb_proced_exame_especifico; public.tb_proced_filtro; public.tb_processamento_historico; public.tb_requisicao_exame; public.tb_tipo_edema; public.tb_tipo_exame; public.tl_exame_clearance_creatina; public.tl_exame_colesterol_hdl; public.tl_exame_colesterol_ldl; public.tl_exame_colesterol_total; public.tl_exame_creatina_serica; public.tl_exame_hemoglobina_glicada; public.tl_exame_prenatal; public.tl_exame_puericultura; public.tl_exame_requisitado; public.tl_exame_triglicerideos; public.tl_requisicao_exame
auditorias,24,154,86,public.ta_ad_cidadao; public.ta_adm_geral; public.ta_adm_municipal; public.ta_agend_compartilhado; public.ta_agendado; public.ta_alergia; public.ta_animais_domicilio; public.ta_antecedente_ciap; public.ta_antecedente_historico; public.ta_antecedente_item; public.ta_arquivo; public.ta_atend; public.ta_atend_obs; public.ta_atend_obs_responsavel; public.ta_atend_proced; public.ta_atend_prof; public.ta_atend_prof_conduta; public.ta_atend_prof_obs; public.ta_atend_prof_odonto_tipo_encm; public.ta_atend_prof_puericultura; public.ta_atend_tipo_servico; public.ta_atestado_modelo; public.ta_ativ_col_lot_env; public.ta_ativ_col_publico_alvo; public.ta_ativ_col_registro_particip; public.ta_ativ_col_tema_reuniao; public.ta_ativacao_agendamento_online; public.ta_atividade_coletiva; public.ta_ator_papel; public.ta_ator_papel_perfil; public.ta_cbo_atend; public.ta_cfg_agenda; public.ta_cfg_agenda_detalhe; public.ta_cfg_agenda_municipal; public.ta_cfg_agenda_online_detalhe; public.ta_cfg_certificado; public.ta_cidadao; public.ta_cidadao_grupo; public.ta_cidadao_vinculacao_equipe; public.ta_config_agenda_fechamento; public.ta_config_sistema; public.ta_cuidado_compartilhado; public.ta_equipe; public.ta_evolucao_avaliacao; public.ta_evolucao_objetivo; public.ta_evolucao_subjetivo_ciap; public.ta_exame_puericultura; public.ta_exame_requisitado; public.ta_exame_triglicerideos; public.ta_gestor_municipal; public.ta_imunobiologico_lote; public.ta_ivcf; public.ta_ivcf_aplicacao; public.ta_lembrete; public.ta_lotacao; public.ta_marcador_consumo_alimentar; public.ta_medicamento; public.ta_medicamento_catmat; public.ta_modelo_personalizado; public.ta_neuro_fator_risco; public.ta_neuro_marco; public.ta_nodo; public.ta_perfil; public.ta_perfil_recurso; public.ta_problema; public.ta_problema_evolucao; public.ta_prof; public.ta_prof_historico_cns; public.ta_prontuario; public.ta_prontuario_grupo_historico; public.ta_registro_vacinacao; public.ta_resposta_mca; public.ta_respostamca_opcaomca; public.ta_retificacao_atend; public.ta_sinan_notificacao_evolucao; public.ta_substancia_espec_alergia; public.ta_tecido_mole_lesao; public.ta_tipo_servico; public.ta_unidade_saude; public.ta_unidade_saude_tipo_servico; public.ta_usuario; public.ta_videochamada; public.ta_vinculacao_equipes; public.tb_auditoria_evento; public.tb_revisao; public.tl_recurso
dados demograficos,23,143,78,public.rl_aldeia_localidade; public.ta_cds_domicilio; public.ta_cidadao; public.ta_prof; public.tb_acomp_cidadaos_vinculados; public.tb_ad_cidadao; public.tb_aldeia; public.tb_bairro; public.tb_cds_atend_domiciliar; public.tb_cds_atend_individual; public.tb_cds_atend_odonto; public.tb_cds_ativ_col_participante; public.tb_cds_ativ_col_publico_alvo; public.tb_cds_aval_elegibilidade; public.tb_cds_cad_domiciliar; public.tb_cds_cad_individual; public.tb_cds_domicilio; public.tb_cds_ficha_consumo_alimentar; public.tb_cds_proced; public.tb_cds_vacinacao; public.tb_cds_visita_domiciliar; public.tb_ciap; public.tb_cid10; public.tb_cidadao; public.tb_dim_cid; public.tb_dim_faixa_etaria; public.tb_dim_municipio; public.tb_dim_raca_cor; public.tb_dim_sexo; public.tb_dim_tipo_orientacao_sexual; public.tb_dim_tipo_parentesco; public.tb_dim_uf; public.tb_estado_civil; public.tb_etnia; public.tb_familia; public.tb_fat_atd_ind_procedimentos; public.tb_fat_atendimento_individual; public.tb_fat_atendimento_odonto; public.tb_fat_avaliacao_elegibilidade; public.tb_fat_cad_dom_familia; public.tb_fat_cad_domiciliar; public.tb_fat_cad_individual; public.tb_fat_cidadao; public.tb_fat_cidadao_pec; public.tb_fat_cidadao_territorio; public.tb_fat_cnslddo_ciddo_fai_cid; public.tb_fat_consolidado_cidadao_fao; public.tb_fat_consolidado_cidadao_fci; public.tb_fat_consolidado_cidadao_fp; public.tb_fat_familia; public.tb_fat_familia_territorio; public.tb_fat_marca_consumo_alimnt; public.tb_fat_proced_atend; public.tb_fat_proced_atend_proced; public.tb_fat_vacinacao; public.tb_grupo_exame; public.tb_pergunta_detalhe; public.tb_povo_comunidade_tradicional; public.tb_prof; public.tb_publico_alvo; public.tb_raca_cor; public.tb_sinan_notificacao; public.tb_uf; public.tl_cds_atend_domiciliar; public.tl_cds_atend_individual; public.tl_cds_atend_odonto; public.tl_cds_ativ_col_participante; public.tl_cds_aval_elegibilidade; public.tl_cds_cad_individual; public.tl_cds_domicilio; public.tl_cds_domicilio_familia; public.tl_cds_ficha_consumo_alimentar; public.tl_cds_proced; public.tl_cds_vacinacao; public.tl_cds_visita_domiciliar; public.tl_cidadao; public.tl_familia; public.tl_prof
