Tipo,Alvo,HardDice_Lex_mean,SoftDice_Sem_mean,N_Tabelas
INTRA,DEEPSEEK,0.7973509102322662,0.9335852769063993,885
INTRA,MISTRAL,0.7655367231638418,0.9164577392321747,885
INTRA,OPENAI,0.8617200251098557,0.9505540877793918,885
INTER,DEEPSEEK__VS__MISTRAL,0.2162628164888052,0.6946933828650046,885
INTER,DEEPSEEK__VS__OPENAI,0.21901653065494875,0.7031312836679512,885
INTER,MISTRAL__VS__OPENAI,0.2859761456371626,0.7308340340764184,885
