Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_cds_atend_dom_situacao_pres,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.6939940088325076
public.rl_cds_atend_dom_situacao_pres,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7112446559800042
public.rl_cds_atend_dom_situacao_pres,MISTRAL__VS__OPENAI,0.6666666666666666,0.8176149725914001
public.rl_cds_atend_individual_ciap,DEEPSEEK__VS__MISTRAL,0.0,0.6142208532050804
public.rl_cds_atend_individual_ciap,DEEPSEEK__VS__OPENAI,0.0,0.6542720397313436
public.rl_cds_atend_individual_ciap,MISTRAL__VS__OPENAI,0.2222222222222222,0.746951957543691
public.rl_cds_atend_individual_condut,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8580503662427267
public.rl_cds_atend_individual_condut,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8000848624441359
public.rl_cds_atend_individual_condut,MISTRAL__VS__OPENAI,0.3333333333333333,0.7561969194147322
public.rl_cds_atend_individual_exame,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8090131613943311
public.rl_cds_atend_individual_exame,DEEPSEEK__VS__OPENAI,0.0,0.7912743555174933
public.rl_cds_atend_individual_exame,MISTRAL__VS__OPENAI,0.0,0.8087245490815905
public.rl_cds_atend_individual_nasf,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8377396994166904
public.rl_cds_atend_individual_nasf,DEEPSEEK__VS__OPENAI,0.4444444444444444,0.7627526852819654
public.rl_cds_atend_individual_nasf,MISTRAL__VS__OPENAI,0.3333333333333333,0.738174557685852
public.rl_cds_atend_odont_tip_vig_buc,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.9117195208867391
public.rl_cds_atend_odont_tip_vig_buc,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7380603618092008
public.rl_cds_atend_odont_tip_vig_buc,MISTRAL__VS__OPENAI,0.3333333333333333,0.7958254350556268
public.rl_cds_atend_odonto_proced,DEEPSEEK__VS__MISTRAL,0.1111111111111111,0.7755955259005228
public.rl_cds_atend_odonto_proced,DEEPSEEK__VS__OPENAI,0.2222222222222222,0.836803760793474
public.rl_cds_atend_odonto_proced,MISTRAL__VS__OPENAI,0.3333333333333333,0.8991962869962057
public.rl_cds_atend_odonto_tipo_cnslt,DEEPSEEK__VS__MISTRAL,0.0,0.6906590395503573
public.rl_cds_atend_odonto_tipo_cnslt,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7517374731876232
public.rl_cds_atend_odonto_tipo_cnslt,MISTRAL__VS__OPENAI,0.3333333333333333,0.7277342942025926
public.rl_cds_atend_odonto_tipo_encam,DEEPSEEK__VS__MISTRAL,0.0,0.7034307519594828
public.rl_cds_atend_odonto_tipo_encam,DEEPSEEK__VS__OPENAI,0.0,0.7060217062632242
public.rl_cds_atend_odonto_tipo_encam,MISTRAL__VS__OPENAI,0.3333333333333333,0.8191393646928999
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.8303346070978377
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.7918344404962327
public.rl_cds_atend_odonto_tipo_fornc,MISTRAL__VS__OPENAI,0.6666666666666666,0.7796342869599661
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK__VS__MISTRAL,0.0,0.655270587073432
